CountyName,area_damaged_open_space,area_damaged_ll,area_damaged_all
Camden,0.0,0.0,0.0
Gates,0.0,0.0,0.0
Iredell,0.0,0.0,0.0
Wilkes,0.0,0.0,0.0
Union,0.0,0.0,0.0
Cabarrus,0.0,0.0,0.0
Wake,0.0,0.0,0.0
Franklin,0.0,0.0,0.0
Pender,0.0,0.0,0.0
New Hanover,0.0,0.0,0.0
Durham,0.0,0.0,0.0
Orange,0.0,0.0,0.0
Chatham,0.0,0.0,0.0
Alamance,0.0,0.0,0.0
Harnett,0.0,0.0,0.0
Moore,0.0,0.0,0.0
Beaufort,0.0,0.0,0.0
Martin,0.0,0.0,0.0
Pitt,0.0,0.0,0.0
Greene,0.0,0.0,0.0
Wilson,0.0,0.0,0.0
Wayne,0.0,0.0,0.0
Anson,0.0,0.0,0.0
Lenoir,0.0,0.0,0.0
Robeson,0.0,0.0,0.0
Hoke,0.0,0.0,0.0
Johnston,0.0,0.0,0.0
Brunswick,0.0,0.0,0.0
Columbus,0.0,0.0,0.0
Bladen,0.0,0.0,0.0
Onslow,0.0,0.0,0.0
Sampson,0.0,0.0,0.0
Carteret,0.0,0.0,0.0
Duplin,0.0,0.0,0.0
Scotland,0.0,0.0,0.0
Richmond,0.0,0.0,0.0
Jones,0.0,0.0,0.0
Craven,0.0,0.0,0.0
Cumberland,0.0,0.0,0.0
Pamlico,0.0,0.0,0.0
Mecklenburg,0.0,0.0,0.0
Jackson,0.01134199343724364,0.004042986054142741,0.02268398687448728
Transylvania,0.01181065206570433,0.008722349427575908,0.02362130413140866
Hyde,0.0,0.0,0.0
Montgomery,0.0,0.0,0.0
Stanly,0.0,0.0,0.0
Gaston,0.0,0.0,0.0
Cleveland,0.0,0.0,0.0
Macon,0.016785321428571427,0.008800714285714287,0.033570642857142854
Cherokee,0.0,0.0,0.0
Clay,0.0059812909632572,0.0010875868917576963,0.0119625819265144
Henderson,0.0,0.0,0.0
Rutherford,0.0,0.0,0.0
Polk,0.0,0.0,0.0
Dare,0.0,0.0,0.0
Lee,0.0,0.0,0.0
Graham,4.73855722826087,4.59233110367893,9.47711445652174
Haywood,7.927567279411765,11.597887179487179,15.85513455882353
Swain,0.5502325581395351,0.4716623600344531,1.1004651162790702
Lincoln,0.0,0.0,0.0
Buncombe,0.02428837573385518,0.03214872798434442,0.04857675146771036
Rowan,0.0,0.0,0.0
Davidson,0.0,0.0,0.0
Randolph,0.0,0.0,0.0
McDowell,0.0,0.0,0.0
Catawba,0.0,0.0,0.0
Burke,0.011491999999999995,0.019122539682539682,0.02298399999999999
Tyrrell,0.0,0.0,0.0
Edgecombe,0.0,0.0,0.0
Washington,0.0,0.0,0.0
Nash,0.0,0.0,0.0
Madison,0.006484263157894736,0.0064847368421052645,0.012968526315789472
Yancey,0.38425263157894735,0.28821052631578953,0.7685052631578947
Davie,0.0,0.0,0.0
Caldwell,0.060039473684210524,0.10951999999999999,0.12007894736842105
Alexander,0.0,0.0,0.0
Bertie,0.0,0.0,0.0
Mitchell,0.0051892941176470584,0.005368627450980394,0.010378588235294117
Guilford,0.0,0.0,0.0
Avery,0.015209999999999998,0.00960701754385965,0.030419999999999996
Forsyth,0.0,0.0,0.0
Chowan,0.0,0.0,0.0
Halifax,0.0,0.0,0.0
Granville,0.0,0.0,0.0
Perquimans,0.0,0.0,0.0
Yadkin,0.0,0.0,0.0
Currituck,0.001629642857142857,0.0028973544973544974,0.003259285714285714
Pasquotank,0.0,0.0,0.0
Watauga,7.792240344827584,8.46108290535583,15.584480689655168
Vance,0.0,0.0,0.0
Northampton,0.0,0.0,0.0
Warren,0.0,0.0,0.0
Person,0.0,0.0,0.0
Caswell,0.0,0.0,0.0
Rockingham,0.0,0.0,0.0
Surry,0.0,0.0,0.0
Hertford,0.0,0.0,0.0
Stokes,0.0,0.0,0.0
Ashe,0.0,0.0,0.0
Alleghany,0.014608814229249012,0.004869960474308301,0.029217628458498023
