CountyName,area_damaged_open_space,area_damaged_ll,area_damaged_all
Camden,0.0,0.0,0.0
Gates,0.0,0.0,0.0
Iredell,0.0,0.0,0.0
Wilkes,0.013111077504725897,0.016562570888468815,0.026222155009451794
Union,0.0,0.0,0.0
Cabarrus,0.0,0.0,0.0
Wake,0.0,0.0,0.0
Franklin,0.0,0.0,0.0
Pender,0.3529246753246753,0.7901875901875902,0.7058493506493506
New Hanover,0.038834042553191485,0.3240452127659575,0.07766808510638297
Durham,0.0,0.0,0.0
Orange,0.0,0.0,0.0
Chatham,0.0,0.0,0.0
Alamance,0.0,0.0,0.0
Harnett,0.0,0.0,0.0
Moore,0.0,0.0,0.0
Beaufort,0.0,0.0,0.0
Martin,0.0,0.0,0.0
Pitt,0.0,0.0,0.0
Greene,0.0,0.0,0.0
Wilson,0.0,0.0,0.0
Wayne,0.0,0.0,0.0
Anson,0.0,0.0,0.0
Lenoir,0.0,0.0,0.0
Robeson,0.0,0.0,0.0
Hoke,0.0,0.0,0.0
Johnston,0.0,0.0,0.0
Brunswick,0.031253424657534244,0.1111314053779807,0.06250684931506849
Columbus,0.0,0.0,0.0
Bladen,0.0,0.0,0.0
Onslow,15.1737495,58.26464000000001,30.347499
Sampson,0.0,0.0,0.0
Carteret,0.5319753694581281,1.393727422003284,1.0639507389162561
Duplin,0.0,0.0,0.0
Scotland,0.0,0.0,0.0
Richmond,0.0,0.0,0.0
Jones,0.0,0.0,0.0
Craven,0.0,0.0,0.0
Cumberland,0.0,0.0,0.0
Pamlico,0.0,0.0,0.0
Mecklenburg,0.0,0.0,0.0
Jackson,0.007561328958162427,0.0026953240360951605,0.015122657916324854
Transylvania,0.008857989049278248,0.006541762070681932,0.017715978098556497
Hyde,0.0006941123595505618,0.001893171996542783,0.0013882247191011237
Montgomery,0.0,0.0,0.0
Stanly,0.0,0.0,0.0
Gaston,0.0,0.0,0.0
Cleveland,0.0,0.0,0.0
Macon,0.008392660714285714,0.004400357142857143,0.016785321428571427
Cherokee,0.0,0.0,0.0
Clay,0.0059812909632572,0.0010875868917576963,0.0119625819265144
Henderson,0.0,0.0,0.0
Rutherford,0.0,0.0,0.0
Polk,0.0,0.0,0.0
Dare,0.00118750813272609,0.006947430058555628,0.00237501626545218
Lee,0.0,0.0,0.0
Graham,3.316733804347826,3.2141739130434783,6.633467608695652
Haywood,2.3744117647058824,3.4689592760180994,4.748823529411765
Swain,0.003668217054263566,0.003144415733563021,0.007336434108527132
Lincoln,0.0,0.0,0.0
Buncombe,0.03238450097847357,0.04286497064579256,0.06476900195694714
Rowan,0.0,0.0,0.0
Davidson,0.0,0.0,0.0
Randolph,0.0,0.0,0.0
McDowell,0.006530380434782608,0.005456159420289855,0.013060760869565216
Catawba,0.0,0.0,0.0
Burke,0.015322666666666662,0.025496719576719576,0.030645333333333323
Tyrrell,0.0,0.0,0.0
Edgecombe,0.0,0.0,0.0
Washington,0.0,0.0,0.0
Nash,0.0,0.0,0.0
Madison,0.0,0.0,0.0
Yancey,0.38425263157894735,0.28821052631578953,0.7685052631578947
Davie,0.0,0.0,0.0
Caldwell,0.018011842105263156,0.032856,0.03602368421052631
Alexander,0.0,0.0,0.0
Bertie,0.0,0.0,0.0
Mitchell,0.0,0.0,0.0
Guilford,0.0,0.0,0.0
Avery,0.011407499999999998,0.007205263157894738,0.022814999999999995
Forsyth,0.0,0.0,0.0
Chowan,0.0,0.0,0.0
Halifax,0.0,0.0,0.0
Granville,0.0,0.0,0.0
Perquimans,0.0,0.0,0.0
Yadkin,0.0,0.0,0.0
Currituck,0.0024444642857142855,0.004346031746031746,0.004888928571428571
Pasquotank,0.0,0.0,0.0
Watauga,0.022229141599413055,0.02410564930300807,0.04445828319882611
Vance,0.0,0.0,0.0
Northampton,0.0,0.0,0.0
Warren,0.0,0.0,0.0
Person,0.0,0.0,0.0
Caswell,0.0,0.0,0.0
Rockingham,0.0,0.0,0.0
Surry,0.0,0.0,0.0
Hertford,0.0,0.0,0.0
Stokes,0.0,0.0,0.0
Ashe,0.0,0.0,0.0
Alleghany,0.04869604743083004,0.016233201581027673,0.09739209486166008
